unix,date,symbol,open,high,low,close,Volume USD,Volume BTC
1.67833E+12,3/9/2023 4:00,BTC/USD,21775,21781,21737,21746,275063.5133,12.64892455
1.67833E+12,3/9/2023 3:00,BTC/USD,21784,21811,21758,21775,602552.1927,27.67174249
1.67833E+12,3/9/2023 2:00,BTC/USD,21715,21794,21715,21784,453948.4628,20.83861838
1.67832E+12,3/9/2023 1:00,BTC/USD,21733,21766,21644,21716,904113.4454,41.63351655
1.67832E+12,3/9/2023 0:00,BTC/USD,21712,21764,21690,21730,791579.7149,36.42796663
1.67832E+12,3/8/2023 23:00,BTC/USD,21808,21844,21590,21713,5527824.305,254.5859303
1.67831E+12,3/8/2023 22:00,BTC/USD,22020,22025,21669,21804,7743822.906,355.156068
1.67831E+12,3/8/2023 21:00,BTC/USD,22109,22119,21929,22021,533603.3475,24.23156748
1.67831E+12,3/8/2023 20:00,BTC/USD,22009,22152,21981,22110,2034763.901,92.02912262
1.6783E+12,3/8/2023 19:00,BTC/USD,22041,22064,22009,22009,301103.2026,13.68091247
1.6783E+12,3/8/2023 18:00,BTC/USD,22048,22068,21969,22040,2862086.845,129.8587498
1.67829E+12,3/8/2023 17:00,BTC/USD,22158,22171,22042,22049,1022471.374,46.37268694
1.67829E+12,3/8/2023 16:00,BTC/USD,22163,22227,22076,22158,1762539.27,79.54414976
1.67829E+12,3/8/2023 15:00,BTC/USD,22000,22227,21900,22162,4639083.968,209.3260522
1.67828E+12,3/8/2023 14:00,BTC/USD,21996,22029,21948,22000,4658093.528,211.731524
1.67828E+12,3/8/2023 13:00,BTC/USD,22017,22057,21959,21998,531282.6028,24.1514048
1.67828E+12,3/8/2023 12:00,BTC/USD,22080,22109,22007,22021,469894.839,21.33848776
1.67827E+12,3/8/2023 11:00,BTC/USD,22122,22137,22070,22080,639044.8361,28.94224801
1.67827E+12,3/8/2023 10:00,BTC/USD,22017,22149,22008,22123,741023.3504,33.49560866
1.67827E+12,3/8/2023 9:00,BTC/USD,21996,22030,21979,22018,375374.6388,17.04853478
1.67826E+12,3/8/2023 8:00,BTC/USD,21977,22030,21949,21995,193820.553,8.81202787
1.67826E+12,3/8/2023 7:00,BTC/USD,22030,22035,21967,21977,291796.5546,13.27736063
1.67826E+12,3/8/2023 6:00,BTC/USD,21953,22049,21934,22034,1054449.328,47.8555563
1.67825E+12,3/8/2023 5:00,BTC/USD,22150,22150,21848,21948,2028557.6,92.42562421
1.67825E+12,3/8/2023 4:00,BTC/USD,22156,22168,22122,22151,129100.6638,5.82820928
1.67824E+12,3/8/2023 3:00,BTC/USD,22177,22189,22095,22155,181415.8418,8.18848304
1.67824E+12,3/8/2023 2:00,BTC/USD,22179,22204,22168,22178,191164.3877,8.61955035
1.67824E+12,3/8/2023 1:00,BTC/USD,22252,22260,22153,22180,128819.8909,5.80793016
1.67823E+12,3/8/2023 0:00,BTC/USD,22209,22291,22203,22250,388421.8894,17.45716357
1.67823E+12,3/7/2023 23:00,BTC/USD,22110,22232,22088,22209,514637.6816,23.1724833
1.67823E+12,3/7/2023 22:00,BTC/USD,22063,22126,21986,22115,1157868.639,52.3567099
1.67822E+12,3/7/2023 21:00,BTC/USD,22063,22116,21960,22063,2057544.978,93.25771554
1.67822E+12,3/7/2023 20:00,BTC/USD,22137,22149,22008,22060,1710844.658,77.55415495
1.67822E+12,3/7/2023 19:00,BTC/USD,22210,22247,22080,22144,3060995.558,138.2313745
1.67821E+12,3/7/2023 18:00,BTC/USD,22320,22331,22172,22210,1689491.488,76.06895488
1.67821E+12,3/7/2023 17:00,BTC/USD,22243,22361,22233,22319,471081.6633,21.10675493
1.6782E+12,3/7/2023 16:00,BTC/USD,22333,22396,22222,22238,5771905.871,259.5514827
1.6782E+12,3/7/2023 15:00,BTC/USD,22318,22488,21950,22334,12547144.97,561.7956915
1.6782E+12,3/7/2023 14:00,BTC/USD,22371,22381,22222,22323,3698277.999,165.6711911
1.67819E+12,3/7/2023 13:00,BTC/USD,22409,22421,22371,22371,1561080.634,69.78144177
1.67819E+12,3/7/2023 12:00,BTC/USD,22346,22410,22340,22408,648251.1804,28.92945289
1.67819E+12,3/7/2023 11:00,BTC/USD,22382,22394,22334,22347,990755.9601,44.33507675
1.67818E+12,3/7/2023 10:00,BTC/USD,22385,22428,22379,22382,280332.0452,12.52488809
1.67818E+12,3/7/2023 9:00,BTC/USD,22416,22418,22358,22386,285572.7689,12.7567573
1.67818E+12,3/7/2023 8:00,BTC/USD,22426,22426,22400,22416,351185.3598,15.66672733
1.67817E+12,3/7/2023 7:00,BTC/USD,22445,22456,22422,22425,93098.60428,4.15155426
1.67817E+12,3/7/2023 6:00,BTC/USD,22460,22460,22423,22446,70111.84817,3.12357873
1.67817E+12,3/7/2023 5:00,BTC/USD,22473,22473,22454,22459,147309.4796,6.55904001
1.67816E+12,3/7/2023 4:00,BTC/USD,22459,22473,22456,22473,68779.52508,3.06054043
1.67816E+12,3/7/2023 3:00,BTC/USD,22502,22554,22454,22458,314662.3984,14.01114963
1.67815E+12,3/7/2023 2:00,BTC/USD,22481,22502,22463,22501,113894.315,5.06174459
1.67815E+12,3/7/2023 1:00,BTC/USD,22408,22500,22407,22480,1381693.094,61.46321592
1.67815E+12,3/7/2023 0:00,BTC/USD,22405,22414,22381,22408,2009731.099,89.68810687
1.67814E+12,3/6/2023 23:00,BTC/USD,22428,22439,22396,22405,218413.4189,9.74842307
1.67814E+12,3/6/2023 22:00,BTC/USD,22407,22444,22406,22428,363961.3442,16.22798931
1.67814E+12,3/6/2023 21:00,BTC/USD,22355,22429,22333,22407,812784.4174,36.27368311
1.67813E+12,3/6/2023 20:00,BTC/USD,22403,22417,22340,22358,271591.7545,12.14740829
1.67813E+12,3/6/2023 19:00,BTC/USD,22512,22517,22363,22404,3665924.163,163.6281094
1.67813E+12,3/6/2023 18:00,BTC/USD,22493,22541,22482,22510,429806.4363,19.09402205
1.67812E+12,3/6/2023 17:00,BTC/USD,22532,22535,22493,22493,4587273.039,203.9422504
1.67812E+12,3/6/2023 16:00,BTC/USD,22556,22579,22482,22533,1503899.216,66.74207677
1.67811E+12,3/6/2023 15:00,BTC/USD,22445,22591,22431,22553,807896.6158,35.82213523
1.67811E+12,3/6/2023 14:00,BTC/USD,22444,22480,22416,22444,1352426.738,60.25783008
1.67811E+12,3/6/2023 13:00,BTC/USD,22413,22482,22394,22444,1099201.703,48.97530313
1.6781E+12,3/6/2023 12:00,BTC/USD,22418,22418,22416,22416,939.2304,0.0419
1.67809E+12,3/6/2023 9:00,BTC/USD,22417,22417,22417,22417,21.95879652,0.00097956
1.67809E+12,3/6/2023 8:00,BTC/USD,22395,22442,22363,22417,148260.8765,6.61376975
1.67809E+12,3/6/2023 7:00,BTC/USD,22410,22428,22393,22395,195737.9794,8.7402536
1.67808E+12,3/6/2023 6:00,BTC/USD,22365,22437,22364,22410,165249.51,7.37391834
1.67808E+12,3/6/2023 5:00,BTC/USD,22342,22365,22324,22365,179638.3578,8.03211973
1.67808E+12,3/6/2023 4:00,BTC/USD,22388,22395,22336,22342,205821.5793,9.21231668
1.67807E+12,3/6/2023 3:00,BTC/USD,22392,22410,22375,22387,136868.5633,6.11375188
1.67807E+12,3/6/2023 2:00,BTC/USD,22388,22400,22278,22392,834843.5308,37.28311588
1.67806E+12,3/6/2023 1:00,BTC/USD,22453,22509,22334,22389,2771437.222,123.7856636
1.67806E+12,3/6/2023 0:00,BTC/USD,22430,22469,22376,22451,281148.0901,12.52274242
1.67806E+12,3/5/2023 23:00,BTC/USD,22436,22454,22375,22431,140372.469,6.2579675
1.67805E+12,3/5/2023 22:00,BTC/USD,22490,22491,22394,22436,307447.4995,13.70331162
1.67805E+12,3/5/2023 21:00,BTC/USD,22410,22547,22334,22490,1541909.817,68.5597962
1.67805E+12,3/5/2023 20:00,BTC/USD,22400,22416,22398,22411,337124.5534,15.04281618
1.67804E+12,3/5/2023 19:00,BTC/USD,22431,22444,22380,22400,363165.699,16.21275442
1.67804E+12,3/5/2023 18:00,BTC/USD,22429,22444,22427,22431,68447.06127,3.05144939
1.67804E+12,3/5/2023 17:00,BTC/USD,22441,22450,22429,22429,54280.52675,2.42010463
1.67803E+12,3/5/2023 16:00,BTC/USD,22439,22450,22425,22440,143301.1749,6.38597036
1.67803E+12,3/5/2023 15:00,BTC/USD,22431,22466,22427,22441,110927.0486,4.94305283
1.67802E+12,3/5/2023 14:00,BTC/USD,22469,22473,22428,22438,135753.1495,6.05014482
1.67802E+12,3/5/2023 13:00,BTC/USD,22424,22494,22424,22467,225985.9863,10.05857419
1.67802E+12,3/5/2023 12:00,BTC/USD,22397,22434,22396,22423,102531.4757,4.57260294
1.67801E+12,3/5/2023 11:00,BTC/USD,22420,22425,22389,22398,141319.0831,6.30945098
1.67801E+12,3/5/2023 10:00,BTC/USD,22380,22457,22380,22420,709172.8905,31.63126184
1.67801E+12,3/5/2023 9:00,BTC/USD,22344,22396,22332,22380,175202.3051,7.82852123
1.678E+12,3/5/2023 8:00,BTC/USD,22383,22396,22337,22339,286482.2193,12.82430813
1.678E+12,3/5/2023 7:00,BTC/USD,22424,22425,22375,22377,212881.7926,9.5134197
1.678E+12,3/5/2023 6:00,BTC/USD,22421,22425,22410,22424,156853.7979,6.99490715
1.67799E+12,3/5/2023 5:00,BTC/USD,22455,22456,22409,22421,450586.613,20.0966332
1.67799E+12,3/5/2023 4:00,BTC/USD,22392,22469,22392,22456,456805.4194,20.34224347
1.67799E+12,3/5/2023 3:00,BTC/USD,22368,22440,22368,22390,374877.057,16.74305748
1.67798E+12,3/5/2023 2:00,BTC/USD,22594,22611,22200,22368,1363814.615,60.97168344
1.67798E+12,3/5/2023 1:00,BTC/USD,22386,22660,22360,22593,1615897.234,71.52203044
1.67797E+12,3/5/2023 0:00,BTC/USD,22346,22391,22321,22386,274363.5409,12.25603238
1.67797E+12,3/4/2023 23:00,BTC/USD,22306,22346,22300,22345,265063.4857,11.86231755
1.67797E+12,3/4/2023 22:00,BTC/USD,22212,22360,22210,22305,1632031.383,73.16885822
1.67796E+12,3/4/2023 21:00,BTC/USD,22249,22251,22176,22212,856848.453,38.57592531
1.67796E+12,3/4/2023 20:00,BTC/USD,22247,22257,22188,22248,862452.9956,38.76541692
1.67796E+12,3/4/2023 19:00,BTC/USD,22326,22327,22233,22245,556666.3276,25.0243348
1.67795E+12,3/4/2023 18:00,BTC/USD,22315,22334,22257,22326,547458.7426,24.52112974
1.67795E+12,3/4/2023 17:00,BTC/USD,22327,22337,22314,22314,66365.87283,2.97418091
1.67795E+12,3/4/2023 16:00,BTC/USD,22319,22343,22301,22327,113748.1041,5.09464344
1.67794E+12,3/4/2023 15:00,BTC/USD,22342,22350,22310,22316,84842.80228,3.80188216
1.67794E+12,3/4/2023 14:00,BTC/USD,22370,22370,22339,22343,338039.0602,15.12952872
1.67793E+12,3/4/2023 13:00,BTC/USD,22390,22391,22370,22370,225407.6891,10.07633836
1.67793E+12,3/4/2023 12:00,BTC/USD,22349,22400,22346,22391,135730.5605,6.06183558
1.67793E+12,3/4/2023 11:00,BTC/USD,22340,22356,22340,22351,98932.40497,4.42630777
1.67792E+12,3/4/2023 10:00,BTC/USD,22353,22358,22332,22341,52072.74037,2.33081511
1.67792E+12,3/4/2023 9:00,BTC/USD,22338,22369,22337,22354,64445.49068,2.88295118
1.67792E+12,3/4/2023 8:00,BTC/USD,22362,22362,22335,22338,237113.2128,10.61479151
1.67791E+12,3/4/2023 7:00,BTC/USD,22375,22378,22356,22365,249739.0013,11.16651023
1.67791E+12,3/4/2023 6:00,BTC/USD,22331,22406,22321,22376,606608.5181,27.10978361
1.67791E+12,3/4/2023 5:00,BTC/USD,22350,22351,22282,22331,290576.076,13.01222856
1.6779E+12,3/4/2023 4:00,BTC/USD,22352,22366,22331,22349,809673.4948,36.22862297
1.6779E+12,3/4/2023 3:00,BTC/USD,22346,22365,22329,22352,691986.3091,30.95858577
1.6779E+12,3/4/2023 2:00,BTC/USD,22344,22359,22341,22346,79464.57284,3.55609831
1.67789E+12,3/4/2023 1:00,BTC/USD,22380,22395,22344,22345,170581.9137,7.63400822
1.67789E+12,3/4/2023 0:00,BTC/USD,22362,22397,22341,22380,131261.9422,5.86514487
1.67788E+12,3/3/2023 23:00,BTC/USD,22329,22382,22326,22362,249013.6637,11.13557212
1.67788E+12,3/3/2023 22:00,BTC/USD,22243,22338,22237,22330,167580.1502,7.50470892
1.67788E+12,3/3/2023 21:00,BTC/USD,22309,22315,22160,22243,3903612.468,175.49847
1.67787E+12,3/3/2023 20:00,BTC/USD,22364,22375,22289,22309,960463.9581,43.0527571
1.67787E+12,3/3/2023 19:00,BTC/USD,22312,22394,22297,22364,237948.2222,10.63978815
1.67787E+12,3/3/2023 18:00,BTC/USD,22419,22422,22237,22313,3470365.95,155.5311231
1.67786E+12,3/3/2023 17:00,BTC/USD,22380,22447,22380,22416,322360.8642,14.38083798
1.67786E+12,3/3/2023 16:00,BTC/USD,22337,22385,22330,22380,513491.0129,22.94419182
1.67786E+12,3/3/2023 15:00,BTC/USD,22378,22413,22231,22335,4973870.765,222.6940123
1.67785E+12,3/3/2023 14:00,BTC/USD,22401,22486,22369,22388,1062304.685,47.44973579
1.67785E+12,3/3/2023 13:00,BTC/USD,22338,22421,22155,22410,2793815.282,124.6682411
1.67784E+12,3/3/2023 12:00,BTC/USD,22341,22368,22320,22339,2019561.594,90.40519244
1.67784E+12,3/3/2023 11:00,BTC/USD,22349,22358,22306,22340,660310.7819,29.55733133
